SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
TATASTLBSL, EQ, 25-Jun-2019, 28.75, 28.50, 29.45, 28.15, 29.40, 29.30, 28.90, 927335, 268.01, 1639, 624289, 67.32
TBZ, EQ, 25-Jun-2019, 46.55, 48.50, 49.40, 46.60, 47.00, 47.05, 47.83, 340412, 162.81, 3160, 68630, 20.16
TCFSL, NB, 25-Jun-2019, 1059.50, 1058.00, 1058.50, 1055.00, 1058.50, 1058.24, 1056.39, 1910, 20.18, 23, 1355, 70.94
TCFSL, ND, 25-Jun-2019, 1068.69, 1070.00, 1072.00, 1065.01, 1069.39, 1069.06, 1067.60, 1382, 14.75, 33, 1175, 85.02
TCFSL, NF, 25-Jun-2019, 1082.00, 1090.00, 1090.00, 1090.00, 1090.00, 1090.00, 1090.00, 100, 1.09, 1, 100, 100.00
TCI, EQ, 25-Jun-2019, 297.40, 296.10, 302.45, 293.35, 297.55, 299.45, 296.20, 81044, 240.05, 546, 74405, 91.81
TCIDEVELOP, EQ, 25-Jun-2019, 355.00, 346.30, 348.00, 346.30, 347.50, 347.50, 347.26, 38, 0.13, 6, 19, 50.00
TCIEXP, EQ, 25-Jun-2019, 624.40, 628.00, 629.00, 610.40, 625.00, 626.50, 621.34, 6406, 39.80, 425, 4167, 65.05
TCIFINANCE, EQ, 25-Jun-2019, 13.20, 13.35, 13.60, 13.05, 13.40, 13.15, 13.28, 5640, 0.75, 83, 3771, 66.86
TCNSBRANDS, EQ, 25-Jun-2019, 790.65, 782.00, 805.85, 782.00, 791.00, 795.70, 793.46, 2519, 19.99, 317, 1371, 54.43
TCPLPACK, EQ, 25-Jun-2019, 338.00, 335.00, 348.50, 330.15, 330.15, 330.50, 332.84, 867, 2.89, 123, 495, 57.09
TCS, EQ, 25-Jun-2019, 2275.50, 2270.00, 2274.45, 2250.50, 2263.00, 2267.80, 2264.08, 1386077, 31381.90, 99699, 598681, 43.19
TDPOWERSYS, EQ, 25-Jun-2019, 148.00, 146.80, 149.95, 146.05, 149.55, 149.20, 148.44, 4672, 6.93, 62, 4318, 92.42
TEAMLEASE, EQ, 25-Jun-2019, 2995.85, 2995.85, 2997.20, 2960.00, 2966.00, 2971.75, 2988.56, 16823, 502.76, 658, 15457, 91.88
TECHIN, EQ, 25-Jun-2019, 3.45, 3.65, 3.65, 3.15, 3.55, 3.50, 3.47, 8029, 0.28, 26, 7342, 91.44
TECHM, EQ, 25-Jun-2019, 728.25, 727.00, 728.15, 720.00, 724.50, 724.35, 724.11, 1451025, 10507.08, 61333, 811716, 55.94
TECHNOE, EQ, 25-Jun-2019, 235.05, 234.05, 253.00, 232.45, 247.00, 248.60, 246.68, 5731, 14.14, 249, 3174, 55.38
TECHNOFAB, EQ, 25-Jun-2019, 29.80, 29.00, 29.00, 28.35, 28.35, 28.35, 28.42, 6881, 1.96, 53, 6753, 98.14
