SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
MAGNUM, BE, 18-Jul-2019, 4.60, 4.55, 4.55, 4.55, 4.55, 4.55, 4.55, 200, 0.01, 1, -, -
MAHABANK, EQ, 18-Jul-2019, 15.85, 15.85, 15.85, 15.50, 15.60, 15.50, 15.60, 176335, 27.51, 653, 104986, 59.54
MAHAPEXLTD, BE, 18-Jul-2019, 89.00, 84.55, 84.55, 84.55, 84.55, 84.55, 84.55, 14, 0.01, 1, -, -
MAHASTEEL, BE, 18-Jul-2019, 145.70, 149.85, 149.85, 142.50, 143.00, 143.30, 143.54, 2277, 3.27, 42, -, -
MAHESHWARI, EQ, 18-Jul-2019, 258.90, 250.00, 263.15, 250.00, 261.00, 260.95, 260.49, 27415, 71.41, 181, 27060, 98.71
MAHINDCIE, EQ, 18-Jul-2019, 218.95, 218.95, 219.90, 215.05, 219.50, 218.65, 217.97, 47731, 104.04, 2018, 34091, 71.42
MAHLIFE, EQ, 18-Jul-2019, 419.70, 415.00, 420.70, 398.35, 405.50, 401.65, 405.52, 73185, 296.78, 3310, 50618, 69.16
MAHLOG, EQ, 18-Jul-2019, 452.75, 452.80, 456.50, 446.45, 449.05, 449.20, 449.37, 22460, 100.93, 671, 20513, 91.33
MAHSCOOTER, EQ, 18-Jul-2019, 4205.70, 4225.00, 4228.05, 4150.00, 4173.00, 4183.60, 4189.32, 1354, 56.72, 472, 969, 71.57
MAHSEAMLES, EQ, 18-Jul-2019, 430.30, 428.20, 436.10, 424.00, 433.80, 434.65, 432.59, 7407, 32.04, 805, 4904, 66.21
MAITHANALL, EQ, 18-Jul-2019, 533.75, 537.90, 538.95, 506.60, 512.00, 509.60, 517.55, 17991, 93.11, 1901, 10558, 58.68
MAJESCO, EQ, 18-Jul-2019, 549.10, 545.00, 548.80, 529.90, 533.00, 530.80, 537.89, 33605, 180.76, 1293, 25678, 76.41
MALUPAPER, EQ, 18-Jul-2019, 20.20, 20.20, 20.25, 19.55, 19.70, 19.70, 19.73, 1815, 0.36, 22, 1219, 67.16
MAN50ETF, EQ, 18-Jul-2019, 117.70, 117.40, 117.40, 116.50, 116.50, 116.60, 117.34, 245, 0.29, 6, 223, 91.02
MANAKALUCO, EQ, 18-Jul-2019, 5.45, 5.45, 5.50, 5.25, 5.40, 5.40, 5.43, 1736, 0.09, 20, 1706, 98.27
MANAKCOAT, EQ, 18-Jul-2019, 4.10, 4.10, 4.10, 3.95, 4.00, 4.00, 3.98, 5822, 0.23, 20, 4076, 70.01
MANAKSIA, EQ, 18-Jul-2019, 35.90, 35.30, 36.15, 34.55, 35.55, 34.85, 35.22, 3117, 1.10, 104, 1472, 47.22
MANAKSTEEL, EQ, 18-Jul-2019, 16.45, 16.40, 16.65, 16.40, 16.40, 16.40, 16.42, 2215, 0.36, 28, 2211, 99.82
MANALIPETC, EQ, 18-Jul-2019, 23.20, 23.50, 23.50, 22.20, 22.70, 22.55, 22.82, 114834, 26.21, 597, 78362, 68.24
MANAPPURAM, EQ, 18-Jul-2019, 134.05, 133.65, 133.65, 128.60, 129.20, 129.25, 130.53, 4135402, 5397.88, 16897, 713997, 17.27
